epidemiology,"Epidemiology provides the scientific foundation for evidence-based public health interventions.",역학,"역학은 근거 기반 공중보건 개입의 과학적 토대를 제공한다.",疫学,疫学は根拠に基づく公衆衛生介入の科学的基盤を提供する。,流行病学,流行病学为循证公共卫生干预提供了科学基础。,epidemiología,La epidemiología proporciona la base científica para las intervenciones de salud pública basadas en evidencia.,dịch tễ học,Dịch tễ học cung cấp nền tảng khoa học cho các can thiệp y tế công cộng dựa trên bằng chứng.,ระบาดวิทยา,ระบาดวิทยาเป็นรากฐานทางวิทยาศาสตร์สำหรับการแทรกแซงด้านสาธารณสุขที่อิงหลักฐาน,epidemiologi,Epidemiologi menyediakan dasar ilmiah untuk intervensi kesehatan masyarakat berbasis bukti.
deixis,"Deixis involves linguistic expressions whose interpretation depends on the spatial or temporal context of the utterance.",직시,"직시는 해석이 발화의 공간적 또는 시간적 맥락에 의존하는 언어 표현을 포함한다.",ダイクシス,ダイクシスは解釈が発話の空間的または時間的文脈に依存する言語表現を含む。,指示,指示涉及其解释取决于话语的空间或时间语境的语言表达。,deixis,La deixis involucra expresiones lingüísticas cuya interpretación depende del contexto espacial o temporal del enunciado.,chỉ thị,Chỉ thị liên quan đến các biểu thức ngôn ngữ mà việc diễn giải phụ thuộc vào ngữ cảnh không gian hoặc thời gian của phát ngôn.,การชี้บอก,การชี้บอกเกี่ยวข้องกับนิพจน์ทางภาษาที่การตีความขึ้นอยู่กับบริบทเชิงพื้นที่หรือเชิงเวลาของถ้อยคำ,deiksis,Deiksis melibatkan ekspresi linguistik yang interpretasinya bergantung pada konteks spasial atau temporal ujaran.
anaphor,"An anaphor refers back to a previously mentioned entity in the discourse to maintain textual cohesion.",조응어,"조응어는 텍스트의 응집력을 유지하기 위해 담화에서 이전에 언급된 개체를 다시 지시한다.",照応語,照応語はテキストの結束性を維持するために談話で以前に言及された実体を再び指す。,回指,回指指向话语中先前提到的实体以维持文本的衔接性。,anáfora,Una anáfora se refiere a una entidad previamente mencionada en el discurso para mantener la cohesión textual.,hồi chỉ,Hồi chỉ đề cập lại một thực thể đã được đề cập trước đó trong diễn ngôn để duy trì sự liên kết văn bản.,คำอ้างอิงย้อนกลับ,คำอ้างอิงย้อนกลับอ้างถึงสิ่งที่กล่าวถึงก่อนหน้าในวาทกรรมเพื่อรักษาความเชื่อมโยงของข้อความ,anafora,Anafora merujuk kembali pada entitas yang disebutkan sebelumnya dalam wacana untuk menjaga kohesi tekstual.
typological classification,"Typological classification groups languages by shared structural features rather than common historical ancestry.",유형적 분류,"유형적 분류는 공통 역사적 조상이 아닌 공유된 구조적 특징에 따라 언어를 분류한다.",類型論的分類,類型論的分類は共通の歴史的祖先ではなく共有される構造的特徴によって言語を分類する。,类型学分类,类型学分类根据共有的结构特征而非共同的历史渊源对语言进行分组。,clasificación tipológica,La clasificación tipológica agrupa lenguas por características estructurales compartidas en lugar de ascendencia histórica común.,phân loại loại hình,Phân loại loại hình nhóm các ngôn ngữ theo các đặc điểm cấu trúc chung thay vì nguồn gốc lịch sử chung.,การจำแนกประเภทเชิงลักษณะ,การจำแนกประเภทเชิงลักษณะจัดกลุ่มภาษาตามลักษณะโครงสร้างร่วมแทนที่จะเป็นบรรพบุรุษทางประวัติศาสตร์ร่วม,klasifikasi tipologis,Klasifikasi tipologis mengelompokkan bahasa berdasarkan fitur struktural bersama daripada leluhur historis yang sama.
enculturation,"Enculturation is the gradual process by which children internalize the norms and values of their surrounding culture.",문화화,"문화화는 아이들이 주변 문화의 규범과 가치를 점진적으로 내면화하는 과정이다.",文化化,文化化は子供が周囲の文化の規範と価値を徐々に内面化するプロセスである。,文化习得,文化习得是儿童逐渐内化周围文化规范和价值观的过程。,enculturación,La enculturación es el proceso gradual mediante el cual los niños internalizan las normas y valores de la cultura circundante.,quá trình tiếp thu văn hóa,Quá trình tiếp thu văn hóa là quá trình dần dần mà trẻ em nội tâm hóa các chuẩn mực và giá trị của văn hóa xung quanh.,การซึมซับวัฒนธรรม,การซึมซับวัฒนธรรมคือกระบวนการที่เด็กค่อยๆ ซึมซับบรรทัดฐานและค่านิยมของวัฒนธรรมรอบข้าง,enkulturasi,Enkulturasi adalah proses bertahap di mana anak-anak menginternalisasi norma dan nilai budaya sekitar mereka.
greenwashing,"Greenwashing misleads consumers by exaggerating the environmental benefits of products through deceptive marketing practices.",그린워싱,"그린워싱은 기만적인 마케팅 관행을 통해 제품의 환경적 이점을 과장하여 소비자를 오도한다.",グリーンウォッシング,グリーンウォッシングは欺瞞的なマーケティング手法を通じて製品の環境上の利点を誇張し消費者を誤解させる。,漂绿,漂绿通过欺骗性营销手段夸大产品的环保效益来误导消费者。,lavado verde,El lavado verde engaña a los consumidores exagerando los beneficios ambientales de los productos mediante prácticas de marketing engañosas.,tẩy xanh,Tẩy xanh đánh lừa người tiêu dùng bằng cách phóng đại lợi ích môi trường của sản phẩm thông qua các thủ đoạn tiếp thị gian dối.,การฟอกเขียว,การฟอกเขียวหลอกลวงผู้บริโภคโดยการพูดเกินจริงเกี่ยวกับประโยชน์ด้านสิ่งแวดล้อมของผลิตภัณฑ์ผ่านการตลาดที่หลอกลวง,pencucian hijau,Pencucian hijau menyesatkan konsumen dengan membesar-besarkan manfaat lingkungan produk melalui praktik pemasaran yang menipu.
carbon neutrality,"Achieving carbon neutrality requires balancing total emissions with equivalent carbon dioxide removal from the atmosphere.",탄소 중립,"탄소 중립을 달성하려면 총 배출량과 대기에서의 동등한 이산화탄소 제거의 균형을 맞춰야 한다.",カーボンニュートラル,カーボンニュートラルの達成は総排出量と大気からの同等の二酸化炭素除去のバランスを取ることを必要とする。,碳中和,实现碳中和需要将总排放量与从大气中等量去除二氧化碳之间取得平衡。,neutralidad de carbono,Lograr la neutralidad de carbono requiere equilibrar las emisiones totales con la eliminación equivalente de dióxido de carbono de la atmósfera.,trung hòa carbon,Đạt được trung hòa carbon đòi hỏi phải cân bằng tổng lượng phát thải với lượng carbon dioxide tương đương được loại bỏ khỏi khí quyển.,ความเป็นกลางทางคาร์บอน,การบรรลุความเป็นกลางทางคาร์บอนต้องสร้างสมดุลระหว่างการปล่อยก๊าซทั้งหมดกับการกำจัดคาร์บอนไดออกไซด์ที่เทียบเท่าจากชั้นบรรยากาศ,netralitas karbon,Mencapai netralitas karbon memerlukan keseimbangan antara total emisi dengan penghilangan karbon dioksida yang setara dari atmosfer.
environmental justice,"Environmental justice movements advocate for the equitable distribution of environmental burdens across all communities.",환경 정의,"환경 정의 운동은 모든 지역사회에 걸친 환경적 부담의 공평한 분배를 옹호한다.",環境正義,環境正義運動はすべてのコミュニティにわたる環境負荷の公平な分配を提唱する。,环境正义,环境正义运动倡导在所有社区之间公平分配环境负担。,justicia ambiental,Los movimientos de justicia ambiental abogan por la distribución equitativa de las cargas ambientales en todas las comunidades.,công bằng môi trường,Các phong trào công bằng môi trường ủng hộ sự phân bổ công bằng gánh nặng môi trường giữa tất cả các cộng đồng.,ความยุติธรรมด้านสิ่งแวดล้อม,ขบวนการความยุติธรรมด้านสิ่งแวดล้อมสนับสนุนการกระจายภาระด้านสิ่งแวดล้อมอย่างเท่าเทียมในทุกชุมชน,keadilan lingkungan,Gerakan keadilan lingkungan mengadvokasi distribusi beban lingkungan yang adil di semua komunitas.
lexical semantics,"Lexical semantics investigates the systematic relationships among word meanings including synonymy and antonymy.",어휘 의미론,"어휘 의미론은 동의어와 반의어를 포함한 단어 의미 간의 체계적 관계를 조사한다.",語彙意味論,語彙意味論は同義語や反義語を含む語の意味間の体系的な関係を調査する。,词汇语义学,词汇语义学研究词义之间的系统关系包括同义和反义。,semántica léxica,La semántica léxica investiga las relaciones sistemáticas entre los significados de las palabras incluyendo la sinonimia y la antonimia.,ngữ nghĩa từ vựng,Ngữ nghĩa từ vựng nghiên cứu các mối quan hệ có hệ thống giữa các nghĩa của từ bao gồm đồng nghĩa và trái nghĩa.,อรรถศาสตร์คำศัพท์,อรรถศาสตร์คำศัพท์ศึกษาความสัมพันธ์ที่เป็นระบบระหว่างความหมายของคำรวมถึงการเป็นคำพ้องความหมายและคำตรงข้าม,semantik leksikal,Semantik leksikal menyelidiki hubungan sistematis antara makna kata termasuk sinonimi dan antonimi.
creolization,"Creolization transforms a simplified pidgin into a fully developed native language with complex grammatical structures.",크레올화,"크레올화는 단순화된 피진어를 복잡한 문법 구조를 갖춘 완전히 발달된 모국어로 변환한다.",クレオール化,クレオール化は簡略化されたピジンを複雑な文法構造を持つ完全に発達した母語に変換する。,克里奥尔化,克里奥尔化将简化的皮钦语转变为具有复杂语法结构的完全发展的母语。,criollización,La criollización transforma un pidgin simplificado en una lengua nativa completamente desarrollada con estructuras gramaticales complejas.,sự hình thành ngôn ngữ creole,Sự hình thành ngôn ngữ creole biến đổi một ngôn ngữ pidgin đơn giản hóa thành một ngôn ngữ mẹ đẻ phát triển đầy đủ với cấu trúc ngữ pháp phức tạp.,การเกิดภาษาครีโอล,การเกิดภาษาครีโอลเปลี่ยนภาษาผสมที่เรียบง่ายให้เป็นภาษาแม่ที่พัฒนาเต็มที่พร้อมโครงสร้างไวยากรณ์ที่ซับซ้อน,kreolisasi,Kreolisasi mengubah pidgin yang disederhanakan menjadi bahasa asli yang berkembang penuh dengan struktur gramatikal yang kompleks.
ecosystem services,"Ecosystem services such as pollination and water purification underpin human economic activity and well-being.",생태계 서비스,"수분매개와 수질정화와 같은 생태계 서비스는 인간의 경제 활동과 복지를 뒷받침한다.",生態系サービス,受粉や水質浄化などの生態系サービスは人間の経済活動と福祉を支えている。,生态系统服务,授粉和水质净化等生态系统服务支撑着人类的经济活动和福祉。,servicios ecosistémicos,Los servicios ecosistémicos como la polinización y la purificación del agua sustentan la actividad económica y el bienestar humano.,dịch vụ hệ sinh thái,Các dịch vụ hệ sinh thái như thụ phấn và lọc nước là nền tảng cho hoạt động kinh tế và phúc lợi của con người.,บริการระบบนิเวศ,บริการระบบนิเวศเช่นการผสมเกสรและการทำให้น้ำบริสุทธิ์สนับสนุนกิจกรรมทางเศรษฐกิจและความเป็นอยู่ที่ดีของมนุษย์,jasa ekosistem,Jasa ekosistem seperti penyerbukan dan pemurnian air menopang aktivitas ekonomi dan kesejahteraan manusia.
anthropocene,"The Anthropocene designates the current geological epoch in which human activity is the dominant force shaping the planet.",인류세,"인류세는 인간 활동이 지구를 형성하는 지배적인 힘인 현재의 지질학적 시대를 지칭한다.",人新世,人新世は人間の活動が地球を形成する支配的な力である現在の地質学的時代を指す。,人类世,人类世指的是人类活动成为塑造地球主导力量的当前地质时代。,Antropoceno,El Antropoceno designa la época geológica actual en la que la actividad humana es la fuerza dominante que moldea el planeta.,thế Nhân sinh,Thế Nhân sinh chỉ kỷ nguyên địa chất hiện tại trong đó hoạt động của con người là lực lượng chủ đạo định hình hành tinh.,มนุษยสมัย,มนุษยสมัยหมายถึงยุคทางธรณีวิทยาปัจจุบันที่กิจกรรมของมนุษย์เป็นแรงผลักดันหลักในการกำหนดรูปร่างของโลก,Antroposen,Antroposen menandai zaman geologi saat ini di mana aktivitas manusia adalah kekuatan dominan yang membentuk planet ini.
