regression,The regression analysis revealed a strong linear relationship between income and education level.,회귀,회귀 분석 결과 소득과 교육 수준 사이에 강한 선형 관계가 나타났다.,回帰,回帰分析により、所得と教育水準の間に強い線形関係があることが明らかになった。,回归,回归分析揭示了收入与教育水平之间存在强烈的线性关系。,regresión,El análisis de regresión reveló una fuerte relación lineal entre el ingreso y el nivel educativo.,hồi quy,Phân tích hồi quy cho thấy mối quan hệ tuyến tính mạnh giữa thu nhập và trình độ học vấn.,การถดถอย,การวิเคราะห์การถดถอยเผยให้เห็นความสัมพันธ์เชิงเส้นที่แข็งแกร่งระหว่างรายได้กับระดับการศึกษา,regresi,Analisis regresi mengungkapkan hubungan linier yang kuat antara pendapatan dan tingkat pendidikan.
isomorphism,The isomorphism between the two algebraic structures means they share identical operational properties.,동형사상,두 대수적 구조 사이의 동형사상은 동일한 연산 속성을 공유함을 의미한다.,同型,二つの代数的構造の間の同型はそれらが同一の演算的性質を共有することを意味する。,同构,两个代数结构之间的同构意味着它们共享相同的运算性质。,isomorfismo,El isomorfismo entre las dos estructuras algebraicas significa que comparten propiedades operacionales idénticas.,phép đẳng cấu,Phép đẳng cấu giữa hai cấu trúc đại số có nghĩa là chúng có các tính chất phép toán giống hệt nhau.,สมสัณฐาน,สมสัณฐานระหว่างโครงสร้างพีชคณิตทั้งสองหมายความว่ามีคุณสมบัติการดำเนินการเหมือนกัน,isomorfisme,Isomorfisme antara dua struktur aljabar berarti keduanya memiliki sifat operasional yang identik.
parabola,A parabola is the set of all points equidistant from a fixed point called the focus and a fixed line called the directrix.,포물선,포물선은 초점이라 불리는 고정점과 준선이라 불리는 고정선으로부터 등거리에 있는 모든 점의 집합이다.,放物線,放物線は焦点と呼ばれる定点と準線と呼ばれる定直線から等距離にあるすべての点の集合である。,抛物线,抛物线是到一个称为焦点的定点和一条称为准线的定直线等距的所有点的集合。,parábola,Una parábola es el conjunto de todos los puntos equidistantes de un punto fijo llamado foco y una línea fija llamada directriz.,parabol,Parabol là tập hợp tất cả các điểm cách đều một điểm cố định gọi là tiêu điểm và một đường thẳng cố định gọi là đường chuẩn.,พาราโบลา,พาราโบลาคือเซตของจุดทั้งหมดที่อยู่ห่างเท่ากันจากจุดคงที่เรียกว่าจุดโฟกัสและเส้นคงที่เรียกว่าไดเรกทริกซ์,parabola,Parabola adalah himpunan semua titik yang berjarak sama dari titik tetap yang disebut fokus dan garis tetap yang disebut direktriks.
hyperbola,The trajectory of certain comets follows a hyperbola indicating they will never return to the inner solar system.,쌍곡선,특정 혜성의 궤적은 쌍곡선을 따르며 이는 내부 태양계로 다시 돌아오지 않을 것임을 나타낸다.,双曲線,ある彗星の軌道は双曲線を描きそれらが内部太陽系に戻ることはないことを示している。,双曲线,某些彗星的轨迹遵循双曲线表明它们永远不会回到内太阳系。,hipérbola,La trayectoria de ciertos cometas sigue una hipérbola lo que indica que nunca regresarán al sistema solar interior.,hyperbol,Quỹ đạo của một số sao chổi tuân theo đường hyperbol cho thấy chúng sẽ không bao giờ quay lại hệ mặt trời bên trong.,ไฮเพอร์โบลา,วิถีของดาวหางบางดวงเป็นไฮเพอร์โบลาซึ่งบ่งชี้ว่าจะไม่กลับมายังระบบสุริยะชั้นในอีก,hiperbola,Lintasan komet tertentu mengikuti hiperbola yang menunjukkan bahwa mereka tidak akan pernah kembali ke tata surya bagian dalam.
proportional,In a proportional representation system legislative seats are allocated according to each party's share of the total vote.,비례적인,비례대표제에서 입법부 의석은 각 정당의 총 투표 비율에 따라 배분된다.,比例の,比例代表制では議席は各政党の総得票率に応じて配分される。,比例的,在比例代表制中立法机构的席位按照各党在总票数中的份额来分配。,proporcional,En un sistema de representación proporcional los escaños legislativos se asignan según la proporción de votos totales de cada partido.,tỷ lệ,Trong hệ thống đại diện tỷ lệ ghế trong cơ quan lập pháp được phân bổ theo tỷ lệ phiếu bầu của mỗi đảng.,สัดส่วน,ในระบบสัดส่วน ที่นั่งในสภานิติบัญญัติจะถูกจัดสรรตามส่วนแบ่งคะแนนเสียงรวมของแต่ละพรรค,proporsional,Dalam sistem representasi proporsional kursi legislatif dialokasikan sesuai dengan pangsa suara total masing-masing partai.
referendum,The referendum on membership in the economic union produced a narrow majority in favour of withdrawal.,국민투표,경제 연합 가입에 대한 국민투표는 탈퇴에 찬성하는 근소한 다수를 산출했다.,国民投票,経済連合への加盟に関する国民投票は離脱支持の僅差の多数となった。,公投,关于经济联盟成员资格的公投产生了微弱多数赞成退出的结果。,referéndum,El referéndum sobre la membresía en la unión económica produjo una estrecha mayoría a favor de la retirada.,trưng cầu dân ý,Cuộc trưng cầu dân ý về tư cách thành viên trong liên minh kinh tế tạo ra đa số sít sao ủng hộ việc rút lui.,การลงประชามติ,การลงประชามติเรื่องสมาชิกภาพในสหภาพเศรษฐกิจให้ผลคะแนนเสียงข้างมากเพียงเล็กน้อยที่สนับสนุนการถอนตัว,referendum,Referendum tentang keanggotaan dalam uni ekonomi menghasilkan mayoritas tipis yang mendukung penarikan diri.
quadratic,The quadratic formula provides the exact roots of any second-degree polynomial equation.,이차의,이차 공식은 모든 2차 다항식 방정식의 정확한 근을 제공한다.,二次の,二次方程式の公式はあらゆる二次多項式方程式の正確な根を提供する。,二次的,二次公式提供任何二次多项式方程的精确根。,cuadrático,La fórmula cuadrática proporciona las raíces exactas de cualquier ecuación polinómica de segundo grado.,bậc hai,Công thức bậc hai cung cấp các nghiệm chính xác của bất kỳ phương trình đa thức bậc hai nào.,กำลังสอง,สูตรกำลังสองให้ค่ารากที่แน่นอนของสมการพหุนามดีกรีสองใด ๆ,kuadrat,Rumus kuadrat memberikan akar yang tepat dari setiap persamaan polinomial berderajat dua.
asymmetric,The asymmetric distribution of wealth within the nation fuelled widespread social discontent.,비대칭적인,국가 내 부의 비대칭적 분배가 광범위한 사회적 불만을 부채질했다.,非対称の,国内の富の非対称な分布が広範な社会的不満を煽った。,不对称的,国家内部财富的不对称分配助长了广泛的社会不满。,asimétrico,La distribución asimétrica de la riqueza dentro de la nación alimentó un descontento social generalizado.,bất đối xứng,Sự phân phối tài sản bất đối xứng trong quốc gia đã thổi bùng sự bất mãn xã hội rộng rãi.,อสมมาตร,การกระจายความมั่งคั่งอย่างอสมมาตรภายในชาติก่อให้เกิดความไม่พอใจทางสังคมอย่างกว้างขวาง,asimetris,Distribusi kekayaan yang asimetris di dalam negeri memicu ketidakpuasan sosial yang meluas.
elliptical,Kepler demonstrated that planetary orbits are elliptical rather than perfectly circular.,타원의,케플러는 행성 궤도가 완전한 원이 아니라 타원이라는 것을 증명했다.,楕円の,ケプラーは惑星の軌道が完全な円ではなく楕円であることを証明した。,椭圆的,开普勒证明了行星轨道是椭圆形的而不是完美的圆形。,elíptico,Kepler demostró que las órbitas planetarias son elípticas en lugar de perfectamente circulares.,hình elip,Kepler chứng minh rằng quỹ đạo hành tinh là hình elip chứ không phải hình tròn hoàn hảo.,วงรี,เคปเลอร์พิสูจน์ว่าวงโคจรของดาวเคราะห์เป็นวงรีไม่ใช่วงกลมสมบูรณ์,elips,Kepler menunjukkan bahwa orbit planet berbentuk elips bukan lingkaran sempurna.
infinitesimal,Leibniz's use of infinitesimal quantities laid the conceptual groundwork for modern calculus.,무한소의; 극소의,라이프니츠의 무한소 양 사용은 현대 미적분학의 개념적 기초를 놓았다.,無限小の,ライプニッツの無限小量の使用は現代の微積分の概念的基礎を築いた。,无穷小的,莱布尼茨对无穷小量的使用为现代微积分奠定了概念基础。,infinitesimal,El uso de cantidades infinitesimales por parte de Leibniz sentó las bases conceptuales del cálculo moderno.,vô cùng nhỏ,Việc Leibniz sử dụng các đại lượng vô cùng nhỏ đã đặt nền tảng khái niệm cho phép tính hiện đại.,เล็กจิ๋ว; อนันต์น้อย,การใช้ปริมาณอนันต์น้อยของไลบ์นิซวางรากฐานแนวคิดสำหรับแคลคูลัสสมัยใหม่,infinitesimal,Penggunaan kuantitas infinitesimal oleh Leibniz meletakkan dasar konseptual untuk kalkulus modern.
tessellation,A tessellation is a pattern of shapes that fit together perfectly without any gaps or overlaps.,테셀레이션; 쪽매맞춤,테셀레이션은 빈틈이나 겹침 없이 완벽하게 맞추어지는 도형의 패턴이다.,テッセレーション,テッセレーションは隙間も重なりもなく完全にはまり合う形のパターンである。,镶嵌,镶嵌是一种形状完美拼合没有任何间隙或重叠的图案。,teselación,Una teselación es un patrón de formas que encajan perfectamente sin huecos ni superposiciones.,sự lát gạch,Sự lát gạch là một mẫu hình dạng ghép khít với nhau hoàn hảo không có khoảng trống hay chồng chéo.,การปูกระเบื้อง,การปูกระเบื้องเป็นรูปแบบของรูปทรงที่เข้ากันอย่างสมบูรณ์โดยไม่มีช่องว่างหรือการซ้อนทับ,teselasi,Teselasi adalah pola bentuk yang cocok satu sama lain secara sempurna tanpa celah atau tumpang tindih.
geocentric,The geocentric model which placed the Earth at the centre of the cosmos was eventually superseded by the heliocentric theory.,지구 중심의,지구를 우주의 중심에 놓았던 지구 중심 모델은 결국 태양 중심 이론으로 대체되었다.,地球中心の,地球を宇宙の中心に置いた地球中心モデルは最終的に太陽中心説に取って代わられた。,地心的,将地球置于宇宙中心的地心模型最终被日心理论所取代。,geocéntrico,El modelo geocéntrico que colocaba la Tierra en el centro del cosmos fue finalmente reemplazado por la teoría heliocéntrica.,địa tâm,Mô hình địa tâm đặt Trái Đất ở trung tâm vũ trụ cuối cùng đã bị thay thế bởi thuyết nhật tâm.,ที่มีโลกเป็นศูนย์กลาง,แบบจำลองที่มีโลกเป็นศูนย์กลางซึ่งวางโลกไว้ที่ศูนย์กลางจักรวาลถูกแทนที่ด้วยทฤษฎีสุริยจักรวาลในที่สุด,geosentris,Model geosentris yang menempatkan Bumi di pusat kosmos akhirnya digantikan oleh teori heliosentris.
heliocentric,Copernicus proposed the heliocentric model asserting that the Earth and other planets revolve around the Sun.,태양 중심의,코페르니쿠스는 지구와 다른 행성들이 태양을 중심으로 공전한다고 주장하는 태양 중심 모델을 제안했다.,太陽中心の,コペルニクスは地球と他の惑星が太陽の周りを回ると主張する太陽中心モデルを提唱した。,日心的,哥白尼提出了日心模型主张地球和其他行星围绕太阳运行。,heliocéntrico,Copérnico propuso el modelo heliocéntrico afirmando que la Tierra y otros planetas giran alrededor del Sol.,nhật tâm,Copernicus đề xuất mô hình nhật tâm khẳng định rằng Trái Đất và các hành tinh khác quay quanh Mặt Trời.,ที่มีดวงอาทิตย์เป็นศูนย์กลาง,โคเปอร์นิคัสเสนอแบบจำลองที่มีดวงอาทิตย์เป็นศูนย์กลางโดยยืนยันว่าโลกและดาวเคราะห์อื่นโคจรรอบดวงอาทิตย์,heliosentris,Copernicus mengusulkan model heliosentris yang menyatakan bahwa Bumi dan planet lain berputar mengelilingi Matahari.
propagation,The propagation of electromagnetic waves through a vacuum occurs at the speed of light.,전파; 전달,진공을 통한 전자기파의 전파는 빛의 속도로 일어난다.,伝播,真空中の電磁波の伝播は光の速度で起こる。,传播,电磁波在真空中的传播以光速发生。,propagación,La propagación de ondas electromagnéticas a través del vacío ocurre a la velocidad de la luz.,sự lan truyền,Sự lan truyền của sóng điện từ qua chân không xảy ra ở tốc độ ánh sáng.,การแพร่กระจาย,การแพร่กระจายของคลื่นแม่เหล็กไฟฟ้าผ่านสุญญากาศเกิดขึ้นที่ความเร็วแสง,propagasi,Propagasi gelombang elektromagnetik melalui ruang hampa terjadi pada kecepatan cahaya.
reciprocal,The reciprocal of any non-zero number is obtained by dividing one by that number.,역수의; 상호적인,0이 아닌 모든 수의 역수는 그 수로 1을 나누어 얻는다.,逆数の,ゼロでない任意の数の逆数はその数で1を割ることによって得られる。,倒数的,任何非零数的倒数都可以通过用一除以该数来获得。,recíproco,El recíproco de cualquier número distinto de cero se obtiene dividiendo uno entre ese número.,nghịch đảo,Nghịch đảo của bất kỳ số khác không nào được lấy bằng cách chia một cho số đó.,ส่วนกลับ,ส่วนกลับของจำนวนที่ไม่เป็นศูนย์ใด ๆ ได้จากการหารหนึ่งด้วยจำนวนนั้น,kebalikan,Kebalikan dari bilangan bukan nol diperoleh dengan membagi satu dengan bilangan tersebut.
congruent,"Two triangles are congruent if they have exactly the same shape and size.",합동인,두 삼각형은 모양과 크기가 정확히 같으면 합동이다.,合同な,二つの三角形はまったく同じ形と大きさであれば合同である。,全等的,如果两个三角形形状和大小完全相同则它们是全等的。,congruente,Dos triángulos son congruentes si tienen exactamente la misma forma y tamaño.,đồng dạng bằng nhau,Hai tam giác đồng dạng bằng nhau nếu chúng có cùng hình dạng và kích thước.,สมภาค,สามเหลี่ยมสองรูปเป็นสมภาคกันถ้ามีรูปร่างและขนาดเท่ากัน,kongruen,Dua segitiga kongruen jika memiliki bentuk dan ukuran yang persis sama.
hypotenuse,"The hypotenuse is always the longest side of a right triangle lying opposite the right angle.",빗변,빗변은 항상 직각삼각형에서 직각의 맞은편에 있는 가장 긴 변이다.,斜辺,斜辺は常に直角三角形の直角の対辺で最も長い辺である。,斜边,斜边总是直角三角形中最长的边位于直角的对面。,hipotenusa,La hipotenusa es siempre el lado más largo de un triángulo rectángulo y se encuentra opuesta al ángulo recto.,cạnh huyền,Cạnh huyền luôn là cạnh dài nhất của tam giác vuông nằm đối diện với góc vuông.,ด้านตรงข้ามมุมฉาก,ด้านตรงข้ามมุมฉากเป็นด้านที่ยาวที่สุดของสามเหลี่ยมมุมฉากเสมอ อยู่ตรงข้ามกับมุมฉาก,hipotenusa,Hipotenusa selalu merupakan sisi terpanjang dari segitiga siku-siku yang terletak berhadapan dengan sudut siku-siku.
datum,"Each datum in the dataset was cross-referenced against multiple independent sources to ensure accuracy.",데이터; 자료(단수),데이터 세트의 각 자료는 정확성을 보장하기 위해 여러 독립적 출처와 교차 참조되었다.,データ(単数形),データセット内の各データは正確性を確保するために複数の独立した情報源と照合された。,数据(单数),数据集中的每个数据都与多个独立来源进行了交叉引用以确保准确性。,dato,Cada dato en el conjunto de datos fue cotejado con múltiples fuentes independientes para garantizar la precisión.,dữ liệu đơn,Mỗi dữ liệu đơn trong tập dữ liệu được đối chiếu chéo với nhiều nguồn độc lập để đảm bảo tính chính xác.,ข้อมูล(เอกพจน์),แต่ละข้อมูลในชุดข้อมูลถูกตรวจสอบไขว้กับหลายแหล่งอิสระเพื่อให้แน่ใจว่ามีความถูกต้อง,datum,Setiap datum dalam kumpulan data dirujuk silang terhadap beberapa sumber independen untuk memastikan akurasi.
aberration,"The chromatic aberration in the telescope lens caused coloured fringes to appear around bright objects.",수차,망원경 렌즈의 색수차가 밝은 물체 주위에 색깔 있는 테두리를 나타나게 했다.,収差,望遠鏡のレンズの色収差により明るい物体の周りに色のにじみが現れた。,色差,望远镜镜片的色差导致明亮物体周围出现彩色条纹。,aberración,La aberración cromática en la lente del telescopio causó que aparecieran franjas de color alrededor de los objetos brillantes.,quang sai,Quang sai màu trong thấu kính kính thiên văn khiến các viền màu xuất hiện xung quanh các vật thể sáng.,ความคลาดเคลื่อน,ความคลาดเคลื่อนของสีในเลนส์กล้องโทรทรรศน์ทำให้เกิดขอบสีรอบวัตถุที่สว่าง,aberasi,Aberasi kromatik pada lensa teleskop menyebabkan pinggiran berwarna muncul di sekitar objek terang.
determinant,"The determinant of a square matrix indicates whether the matrix is invertible.",행렬식,정방 행렬의 행렬식은 해당 행렬이 역행렬을 가지는지 여부를 나타낸다.,行列式,正方行列の行列式はその行列が逆行列を持つかどうかを示す。,行列式,方阵的行列式表明该矩阵是否可逆。,determinante,El determinante de una matriz cuadrada indica si la matriz es invertible.,định thức,Định thức của một ma trận vuông cho biết ma trận đó có khả nghịch hay không.,ดีเทอร์มิแนนต์,ดีเทอร์มิแนนต์ของเมทริกซ์จัตุรัสบ่งบอกว่าเมทริกซ์สามารถหาเมทริกซ์ผกผันได้หรือไม่,determinan,Determinan dari matriks persegi menunjukkan apakah matriks tersebut dapat dibalik.
quasiparticle,"In condensed matter physics a quasiparticle is an emergent phenomenon that behaves as though it were a distinct particle.",준입자,응집물질물리학에서 준입자는 마치 별개의 입자인 것처럼 행동하는 창발적 현상이다.,準粒子,凝縮系物理学における準粒子はあたかも独立した粒子のように振る舞う創発的現象である。,准粒子,在凝聚态物理学中准粒子是一种表现得像独立粒子一样的涌现现象。,cuasipartícula,En la física de la materia condensada una cuasipartícula es un fenómeno emergente que se comporta como si fuera una partícula distinta.,giả hạt,Trong vật lý vật chất ngưng tụ giả hạt là một hiện tượng xuất hiện hành xử như thể nó là một hạt riêng biệt.,ควาไซพาร์ติเคิล,ในฟิสิกส์ของสสารควบแน่น ควาไซพาร์ติเคิลเป็นปรากฏการณ์ที่เกิดขึ้นใหม่ที่ทำตัวราวกับเป็นอนุภาคที่แตกต่าง,kuasipartikel,Dalam fisika materi terkondensasi kuasipartikel adalah fenomena emergen yang berperilaku seolah-olah merupakan partikel yang berbeda.
incumbent,"It is incumbent upon elected officials to uphold the constitution and serve the public interest.",현직의; ~의 의무인,선출된 공직자는 헌법을 수호하고 공익에 봉사할 의무가 있다.,現職の; ～の義務である,選出された公務員には憲法を守り公益に奉仕する義務がある。,在任的; 义不容辞的,当选官员有义务维护宪法并服务于公共利益。,incumbente,Es deber de los funcionarios electos defender la constitución y servir al interés público.,đương nhiệm; có trách nhiệm,Các quan chức được bầu có trách nhiệm duy trì hiến pháp và phục vụ lợi ích công cộng.,ผู้ดำรงตำแหน่ง; เป็นหน้าที่,เป็นหน้าที่ของเจ้าหน้าที่ที่ได้รับเลือกตั้งที่จะรักษารัฐธรรมนูญและรับใช้ผลประโยชน์สาธารณะ,petahana; berkewajiban,Sudah menjadi kewajiban para pejabat terpilih untuk menegakkan konstitusi dan melayani kepentingan publik.
acquiescence,"Their acquiescence to the new policy was interpreted not as approval but as reluctant acceptance.",묵인; 묵종,새 정책에 대한 그들의 묵인은 승인이 아니라 마지못한 수용으로 해석되었다.,黙認,新しい政策への彼らの黙認は承認ではなく不承不承の受け入れと解釈された。,默许,他们对新政策的默许被解读为不是赞同而是不情愿的接受。,aquiescencia,Su aquiescencia a la nueva política fue interpretada no como aprobación sino como aceptación reticente.,sự mặc nhận,Sự mặc nhận của họ đối với chính sách mới được hiểu không phải là sự chấp thuận mà là sự chấp nhận miễn cưỡng.,การยอมรับโดยดุษณี,การยอมรับโดยดุษณีของพวกเขาต่อนโยบายใหม่ถูกตีความว่าไม่ใช่การเห็นด้วยแต่เป็นการยอมรับอย่างไม่เต็มใจ,persetujuan diam-diam,Persetujuan diam-diam mereka terhadap kebijakan baru ditafsirkan bukan sebagai persetujuan melainkan sebagai penerimaan yang enggan.
subversive,"The government labelled the underground newspaper as subversive and attempted to shut down its printing press.",전복적인; 파괴적인,정부는 지하 신문을 전복적이라고 규정하고 그 인쇄소를 폐쇄하려 시도했다.,破壊的な,政府は地下新聞を破壊的と分類しその印刷所を閉鎖しようとした。,颠覆性的,政府将这份地下报纸定性为颠覆性的并试图关闭其印刷厂。,subversivo,El gobierno calificó al periódico clandestino como subversivo e intentó cerrar su imprenta.,lật đổ,Chính phủ gán nhãn tờ báo ngầm là mang tính lật đổ và cố gắng đóng cửa nhà in của nó.,บ่อนทำลาย,รัฐบาลจัดให้หนังสือพิมพ์ใต้ดินเป็นสิ่งที่บ่อนทำลายและพยายามปิดโรงพิมพ์,subversif,Pemerintah melabeli surat kabar bawah tanah itu sebagai subversif dan berusaha menutup percetakannya.
enfranchise,"The amendment sought to enfranchise all citizens over the age of eighteen regardless of property ownership.",선거권을 부여하다,그 수정안은 재산 소유와 관계없이 18세 이상의 모든 시민에게 선거권을 부여하고자 했다.,参政権を与える,その改正は財産の所有に関係なく18歳以上のすべての市民に参政権を与えることを目指していた。,赋予选举权,该修正案旨在赋予所有十八岁以上公民选举权不论其是否拥有财产。,otorgar el derecho al voto,La enmienda buscaba otorgar el derecho al voto a todos los ciudadanos mayores de dieciocho años independientemente de la propiedad.,trao quyền bầu cử,Bản sửa đổi nhằm trao quyền bầu cử cho tất cả công dân trên mười tám tuổi bất kể quyền sở hữu tài sản.,ให้สิทธิเลือกตั้ง,การแก้ไขนี้พยายามให้สิทธิเลือกตั้งแก่พลเมืองทุกคนที่อายุเกินสิบแปดปีโดยไม่คำนึงถึงการเป็นเจ้าของทรัพย์สิน,memberikan hak pilih,Amendemen tersebut berupaya memberikan hak pilih kepada semua warga negara di atas usia delapan belas tahun tanpa memandang kepemilikan properti.
disenfranchise,"Voter suppression tactics effectively disenfranchise minority communities by creating barriers to ballot access.",선거권을 박탈하다,유권자 억압 전술은 투표 접근에 장벽을 만들어 소수 집단 커뮤니티의 선거권을 사실상 박탈한다.,参政権を奪う,有権者抑圧の戦術は投票へのアクセスに障壁を作ることで少数派コミュニティの参政権を事実上奪う。,剥夺选举权,选民压制策略通过设置投票障碍有效地剥夺了少数族裔社区的选举权。,privar del derecho al voto,Las tácticas de supresión de votantes efectivamente privan del derecho al voto a las comunidades minoritarias al crear barreras para el acceso a las urnas.,tước quyền bầu cử,Các chiến thuật đàn áp cử tri thực sự tước quyền bầu cử của các cộng đồng thiểu số bằng cách tạo ra rào cản tiếp cận phiếu bầu.,ตัดสิทธิเลือกตั้ง,ยุทธวิธีกดขี่ผู้มีสิทธิเลือกตั้งตัดสิทธิเลือกตั้งของชุมชนชนกลุ่มน้อยอย่างมีประสิทธิผลโดยสร้างอุปสรรคในการเข้าถึงหีบบัตรเลือกตั้ง,mencabut hak pilih,Taktik penindasan pemilih secara efektif mencabut hak pilih komunitas minoritas dengan menciptakan hambatan akses pemungutan suara.
rapprochement,"The diplomatic rapprochement between the two nations ended decades of hostility and opened new channels for trade.",화해; 관계 개선,두 국가 간의 외교적 화해는 수십 년간의 적대 관계를 종식시키고 새로운 무역 통로를 열었다.,関係改善,二国間の外交的関係改善は数十年にわたる敵対関係を終わらせ新たな貿易チャネルを開いた。,关系缓和,两国之间的外交关系缓和结束了数十年的敌对关系并开辟了新的贸易渠道。,acercamiento,El acercamiento diplomático entre las dos naciones puso fin a décadas de hostilidad y abrió nuevos canales de comercio.,xích lại gần nhau,Sự xích lại gần nhau về ngoại giao giữa hai quốc gia đã chấm dứt hàng thập kỷ thù địch và mở ra các kênh thương mại mới.,การปรับความสัมพันธ์,การปรับความสัมพันธ์ทางการทูตระหว่างสองชาติยุติความเป็นศัตรูมานานหลายทศวรรษและเปิดช่องทางการค้าใหม่,normalisasi hubungan,Normalisasi hubungan diplomatik antara kedua negara mengakhiri permusuhan selama puluhan tahun dan membuka jalur perdagangan baru.
realpolitik,"The foreign minister's decisions were guided by realpolitik rather than idealistic principles.",현실정치,외무장관의 결정은 이상주의적 원칙이 아닌 현실정치에 의해 이끌어졌다.,レアルポリティーク,外務大臣の決定は理想主義的な原則ではなくレアルポリティークに導かれていた。,现实政治,外交部长的决策是以现实政治而非理想主义原则为指导的。,realpolitik,Las decisiones del ministro de asuntos exteriores fueron guiadas por la realpolitik más que por principios idealistas.,chính trị thực dụng,Các quyết định của bộ trưởng ngoại giao được hướng dẫn bởi chính trị thực dụng thay vì các nguyên tắc lý tưởng.,การเมืองสมจริง,การตัดสินใจของรัฐมนตรีต่างประเทศได้รับการชี้นำจากการเมืองสมจริงมากกว่าหลักการในอุดมคติ,realpolitik,Keputusan menteri luar negeri dipandu oleh realpolitik bukan prinsip-prinsip idealistis.
recidivism,"High rates of recidivism suggest that the current penal system fails to rehabilitate offenders effectively.",재범률,높은 재범률은 현행 형사 사법 제도가 범죄자를 효과적으로 재활시키지 못하고 있음을 시사한다.,再犯率,高い再犯率は現在の刑事司法制度が犯罪者を効果的に更生させていないことを示唆している。,累犯率,高累犯率表明当前的刑罚制度未能有效地改造罪犯。,reincidencia,Las altas tasas de reincidencia sugieren que el sistema penal actual no logra rehabilitar a los delincuentes de manera efectiva.,tái phạm,Tỷ lệ tái phạm cao cho thấy hệ thống hình sự hiện tại không phục hồi chức năng cho người phạm tội một cách hiệu quả.,การกระทำผิดซ้ำ,อัตราการกระทำผิดซ้ำที่สูงบ่งชี้ว่าระบบอาญาปัจจุบันล้มเหลวในการฟื้นฟูผู้กระทำผิดอย่างมีประสิทธิผล,residivisme,Tingkat residivisme yang tinggi menunjukkan bahwa sistem pemasyarakatan saat ini gagal merehabilitasi pelanggar secara efektif.
apotheosis,"Many consider the Renaissance to be the apotheosis of European artistic and intellectual achievement.",신격화; 극치,많은 사람들이 르네상스를 유럽의 예술적·지적 성취의 극치로 여긴다.,神格化; 極致,多くの人がルネサンスをヨーロッパの芸術的・知的達成の極致と見なしている。,神化; 极致,许多人认为文艺复兴是欧洲艺术和知识成就的巅峰。,apoteosis,Muchos consideran el Renacimiento como la apoteosis del logro artístico e intelectual europeo.,sự tôn vinh tột cùng,Nhiều người coi thời Phục Hưng là đỉnh cao của thành tựu nghệ thuật và trí tuệ châu Âu.,จุดสูงสุด; การยกย่องเป็นเทพ,หลายคนถือว่ายุคฟื้นฟูศิลปวิทยาเป็นจุดสูงสุดของความสำเร็จทางศิลปะและปัญญาของยุโรป,puncak kesempurnaan,Banyak yang menganggap Renaisans sebagai puncak kesempurnaan pencapaian artistik dan intelektual Eropa.
antithesis,"Her calm measured response was the very antithesis of his explosive emotional outburst.",정반대; 대조,그녀의 차분하고 절제된 반응은 그의 폭발적인 감정 분출과 정반대였다.,正反対; 対照,彼女の冷静で節度のある対応は彼の爆発的な感情の噴出の正反対であった。,对立面,她冷静克制的回应与他情绪失控的爆发形成了鲜明的对立。,antítesis,Su respuesta calmada y mesurada era la antítesis misma de su explosivo arrebato emocional.,đối lập,Phản ứng bình tĩnh và điềm đạm của cô ấy hoàn toàn đối lập với sự bùng nổ cảm xúc của anh ấy.,สิ่งตรงข้าม,การตอบสนองที่สงบและมีสติของเธอเป็นสิ่งตรงข้ามกับการระเบิดอารมณ์ของเขา,antitesis,Tanggapannya yang tenang dan terukur merupakan antitesis dari ledakan emosionalnya.
quintessential,"She was the quintessential diplomat combining firmness with grace under pressure.",전형적인; 정수의,그녀는 압박 속에서도 단호함과 품위를 결합하는 전형적인 외교관이었다.,典型的な,彼女はプレッシャーの中でも毅然さと優雅さを兼ね備えた典型的な外交官だった。,典型的,她是典型的外交官在压力下将坚定与优雅完美结合。,quintaesencial,Ella era la diplomática quintaesencial combinando firmeza con elegancia bajo presión.,tinh túy nhất,Cô ấy là nhà ngoại giao tinh túy nhất kết hợp sự kiên quyết với phong thái tao nhã dưới áp lực.,ที่เป็นแก่นแท้,เธอเป็นนักการทูตที่เป็นแก่นแท้ที่ผสมผสานความแน่วแน่กับความสง่างามภายใต้ความกดดัน,esensi,Dia adalah diplomat esensi yang menggabungkan ketegasan dengan keanggunan di bawah tekanan.
vicarious,"She experienced a vicarious thrill watching her daughter accept the prestigious scholarship.",대리의; 간접적인,그녀는 딸이 명문 장학금을 받는 것을 지켜보며 대리적 전율을 경험했다.,代理の,彼女は娘が名誉ある奨学金を受け取るのを見て代理的なスリルを感じた。,替代的; 间接的,她看着女儿接受那份名望很高的奖学金时体验到了间接的兴奋。,vicario,Ella experimentó una emoción vicaria al ver a su hija aceptar la prestigiosa beca.,gián tiếp,Bà trải nghiệm niềm vui gián tiếp khi nhìn con gái nhận học bổng danh giá.,ผ่านประสบการณ์ผู้อื่น,เธอรู้สึกตื่นเต้นผ่านประสบการณ์ของลูกสาวเมื่อเห็นลูกรับทุนการศึกษาอันทรงเกียรติ,seolah-olah mengalami sendiri,Dia merasakan kegembiraan seolah-olah mengalami sendiri saat melihat putrinya menerima beasiswa bergengsi.
