"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"acclivity","The stock price showed a steady acclivity over the quarter.","오르막, 상승","주가는 분기 동안 꾸준한 상승을 보였다.","上り坂、上昇","株価は四半期を通じて着実な上昇を見せた。","上坡，上升","股价在本季度呈现稳定上升。"
"accost","The reporter accosted the CEO outside the boardroom.","말을 걸다, 다가가다","기자가 이사회실 밖에서 CEO에게 말을 걸었다.","声をかける、近づく","記者は役員室の外でCEOに声をかけた。","搭讪，走近","记者在董事会议室外拦住了首席执行官。"
"accretion","The accretion of small gains led to a significant portfolio increase.","증가, 부가","작은 이익의 축적이 포트폴리오의 상당한 증가로 이어졌다.","増加、付加","小さな利益の積み重ねがポートフォリオの大幅な増加につながった。","增长，附加","小收益的积累导致投资组合大幅增长。"
"acerbic","His acerbic review of the proposal discouraged the team.","신랄한, 날카로운","그의 신랄한 제안서 검토가 팀의 사기를 떨어뜨렸다.","辛辣な、鋭い","彼の辛辣な提案書のレビューはチームの士気を下げた。","尖刻的，辛辣的","他对提案的尖刻评价使团队士气低落。"
"acquisitive","The acquisitive conglomerate purchased three companies this year.","탐욕스러운, 취득의","탐욕스러운 대기업은 올해 세 개의 회사를 인수했다.","貪欲な、取得の","買収意欲の強いコングロマリットは今年3社を買収した。","贪婪的，收购的","这家贪婪的企业集团今年收购了三家公司。"
"actuarial","Actuarial analysis indicated rising insurance premiums.","보험 통계의","보험 통계 분석은 보험료 상승을 나타냈다.","保険数理の","保険数理分析は保険料の上昇を示した。","精算的","精算分析表明保险费将上涨。"
"adage","The old adage 'time is money' drives our efficiency initiatives.","격언, 속담","시간이 돈이라는 오래된 격언이 우리의 효율성 이니셔티브를 이끈다.","格言、ことわざ","「時は金なり」という古い格言が効率化の取り組みを推進している。","格言，谚语","'时间就是金钱'这句古老的格言推动着我们的效率举措。"
"adjure","The chairman adjured the board to consider the long-term impact.","간청하다, 맹세시키다","회장은 이사회에 장기적 영향을 고려할 것을 간청했다.","懇願する、誓わせる","会長は取締役会に長期的な影響を考慮するよう懇願した。","恳请，命令","董事长恳请董事会考虑长期影响。"
"adulteration","Adulteration of financial records led to criminal charges.","변조, 불순물 혼합","재무 기록의 변조로 형사 고발이 이루어졌다.","改ざん、不純物混入","財務記録の改ざんは刑事告発につながった。","掺假，篡改","财务记录的篡改导致了刑事指控。"
"adventitious","The adventitious discovery of a market gap led to a new product.","우연한, 부수적인","시장 틈새의 우연한 발견이 새로운 제품으로 이어졌다.","偶然の、付随的な","市場ギャップの偶然の発見が新製品につながった。","偶然的，附带的","偶然发现的市场缺口催生了一款新产品。"
"aegis","The project was developed under the aegis of the innovation department.","보호, 후원","그 프로젝트는 혁신 부서의 후원 하에 개발되었다.","保護、後援","そのプロジェクトはイノベーション部門の後援の下で開発された。","庇护，赞助","该项目在创新部门的庇护下开发。"
"affectation","His affectation of expertise did not fool the seasoned investors.","가식, 꾸밈","그의 전문성에 대한 가식은 노련한 투자자들을 속이지 못했다.","気取り、見せかけ","彼の専門知識の見せかけはベテラン投資家をだませなかった。","做作，矫揉造作","他装出的专业姿态没有骗过经验丰富的投资者。"
"agglomerate","Small firms agglomerate in tech hubs to share resources.","집적하다, 뭉치다","소규모 기업들이 자원을 공유하기 위해 기술 허브에 집적한다.","集積する、凝集する","小企業はリソースを共有するためにテックハブに集積する。","聚集，凝聚","小公司聚集在科技中心以共享资源。"
"aghast","Shareholders were aghast at the magnitude of the quarterly loss.","경악한, 소스라치게 놀란","주주들은 분기 손실의 규모에 경악했다.","愕然とした、仰天した","株主は四半期損失の大きさに愕然とした。","惊骇的，吓呆的","股东们对季度亏损的规模感到震惊。"
"agrarian","The country's shift from an agrarian to an industrial economy was rapid.","농업의, 토지의","농업 경제에서 산업 경제로의 전환은 빠르게 이루어졌다.","農業の、土地の","農業経済から工業経済への移行は急速だった。","农业的，土地的","该国从农业经济向工业经济的转变非常迅速。"
"alcove","The office alcove served as a quiet meeting space.","벽감, 오목한 곳","사무실 벽감은 조용한 회의 공간으로 사용되었다.","壁龕、くぼみ","オフィスの壁龕は静かな会議スペースとして使われた。","壁龛，凹室","办公室的壁龛用作安静的会议空间。"
"allay","The CEO's statement helped allay investor concerns about the merger.","완화하다, 진정시키다","CEO의 성명은 합병에 대한 투자자 우려를 완화하는 데 도움이 되었다.","和らげる、静める","CEOの声明は合併に関する投資家の懸念を和らげるのに役立った。","减轻，缓解","首席执行官的声明有助于缓解投资者对合并的担忧。"
"almanac","The financial almanac provided historical market data.","연감, 달력","금융 연감은 역사적 시장 데이터를 제공했다.","年鑑、暦","金融年鑑は過去の市場データを提供した。","年鉴，历书","金融年鉴提供了历史市场数据。"
"altercation","An altercation between board members delayed the vote.","언쟁, 다툼","이사회 구성원 간의 언쟁이 투표를 지연시켰다.","口論、いさかい","取締役間の口論で投票が遅れた。","争吵，口角","董事会成员之间的争吵推迟了投票。"
"amass","She amassed a fortune through strategic investments.","모으다, 축적하다","그녀는 전략적 투자를 통해 재산을 모았다.","蓄積する、集める","彼女は戦略的な投資で財を築いた。","积累，聚集","她通过战略投资积累了一笔财富。"
"amenable","The union was amenable to the proposed wage increase.","기꺼이 하는, 순응하는","노조는 제안된 임금 인상에 기꺼이 응했다.","従順な、応じやすい","組合は提案された賃上げに応じる姿勢を見せた。","顺从的，愿意的","工会对提议的加薪表示愿意接受。"
"amenity","The new office building offers numerous amenities for employees.","편의 시설, 쾌적함","새 사무실 건물은 직원들에게 다양한 편의 시설을 제공한다.","アメニティ、快適さ","新しいオフィスビルは従業員に多くのアメニティを提供している。","便利设施，舒适","新办公楼为员工提供了众多便利设施。"
"amiable","An amiable disposition helps build strong client relationships.","상냥한, 친절한","상냥한 성격은 강한 고객 관계를 구축하는 데 도움이 된다.","友好的な、愛想の良い","愛想の良い性格は強固な顧客関係の構築に役立つ。","和蔼的，亲切的","和蔼的性格有助于建立牢固的客户关系。"
"amorphous","The amorphous organizational structure hindered decision-making.","무정형의, 불분명한","무정형의 조직 구조가 의사 결정을 방해했다.","無定形の、不明確な","無定形の組織構造が意思決定を妨げた。","无定形的，模糊的","模糊的组织结构阻碍了决策。"
"amplify","The marketing campaign aimed to amplify brand awareness.","증폭하다, 확대하다","마케팅 캠페인은 브랜드 인지도를 증폭하는 것을 목표로 했다.","増幅する、拡大する","マーケティングキャンペーンはブランド認知度の拡大を目指した。","放大，扩大","营销活动旨在扩大品牌知名度。"
"annihilate","The competitor's pricing strategy could annihilate our market share.","전멸시키다, 소멸시키다","경쟁사의 가격 전략이 우리 시장 점유율을 소멸시킬 수 있다.","全滅させる、消滅させる","競合の価格戦略は我々の市場シェアを消滅させる可能性がある。","歼灭，消灭","竞争对手的定价策略可能会摧毁我们的市场份额。"
"anodyne","The CEO gave an anodyne response to avoid controversy.","무해한, 진통의","CEO는 논란을 피하기 위해 무해한 답변을 했다.","当たり障りのない、鎮痛の","CEOは論争を避けるために当たり障りのない回答をした。","无害的，止痛的","首席执行官给出了一个无害的回答以避免争议。"
"ante","The company upped the ante by offering a higher bid.","판돈, 앞의","회사는 더 높은 입찰가를 제시하여 판돈을 올렸다.","賭け金、前の","会社はより高い入札額を提示して賭け金を引き上げた。","赌注，前面的","公司通过提出更高的出价来提高赌注。"
"aphorism","The manager often quoted business aphorisms in meetings.","경구, 격언","매니저는 회의에서 종종 비즈니스 경구를 인용했다.","警句、格言","マネージャーは会議でしばしばビジネスの格言を引用した。","格言，警句","经理经常在会议上引用商业格言。"
"apostate","The apostate executive abandoned the company's founding principles.","배교자, 변절자","변절한 임원은 회사의 창립 원칙을 포기했다.","背教者、変節者","背信した幹部は会社の創立原則を放棄した。","叛教者，变节者","叛变的高管放弃了公司的创始原则。"
"apotheosis","The product launch was the apotheosis of years of research.","신격화, 극치","제품 출시는 수년간의 연구의 극치였다.","神格化、極致","製品発売は長年の研究の極致であった。","神化，典范","产品发布是多年研究的巅峰。"
"apt","Her apt analysis of the market won the client's trust.","적절한, ~하기 쉬운","그녀의 적절한 시장 분석이 고객의 신뢰를 얻었다.","適切な、〜しがちな","彼女の的確な市場分析がクライアントの信頼を勝ち取った。","恰当的，易于","她对市场的恰当分析赢得了客户的信任。"
"arbiter","The regulator served as the final arbiter of the dispute.","중재자, 판정자","규제 기관이 분쟁의 최종 중재자 역할을 했다.","仲裁者、裁定者","規制当局が紛争の最終的な裁定者を務めた。","仲裁者，裁决者","监管机构担任了争议的最终仲裁者。"
"archipelago","The company operates resorts across the Indonesian archipelago.","군도, 다도해","회사는 인도네시아 군도 전역에서 리조트를 운영한다.","群島、多島海","同社はインドネシア群島全域でリゾートを運営している。","群岛","该公司在印度尼西亚群岛各地经营度假村。"
"archive","All financial documents are stored in the company archive.","보관소, 기록 보관하다","모든 재무 문서는 회사 보관소에 저장된다.","アーカイブ、保管する","すべての財務書類は会社のアーカイブに保管されている。","档案馆，存档","所有财务文件都存储在公司档案馆中。"
"aria","The keynote speech was like an aria—passionate and commanding.","아리아, 독창곡","기조 연설은 아리아처럼 열정적이고 위엄 있었다.","アリア、独唱曲","基調講演はアリアのように情熱的で堂々としていた。","咏叹调","主题演讲如同咏叹调般充满激情和感染力。"
"artifice","The accounting artifice was designed to inflate revenue figures.","책략, 기교","회계 책략은 수익 수치를 부풀리기 위해 설계되었다.","策略、巧みさ","その会計上の策略は収益数字を膨らませるために設計された。","诡计，技巧","会计手法旨在虚增收入数字。"
"ascendancy","The firm gained ascendancy in the market through innovation.","우세, 지배력","회사는 혁신을 통해 시장에서 우세를 차지했다.","優勢、支配力","同社はイノベーションを通じて市場での優位性を獲得した。","优势，支配地位","该公司通过创新获得了市场主导地位。"
"ascetic","The founder lived an ascetic lifestyle despite his wealth.","금욕적인, 고행자","창업자는 부유함에도 불구하고 금욕적인 생활을 했다.","禁欲的な、苦行者","創業者は富があるにもかかわらず禁欲的な生活を送った。","苦行的，禁欲的","创始人尽管富有却过着苦行僧般的生活。"
"aspersion","Casting aspersions on a competitor violates our code of ethics.","중상, 비방","경쟁사를 중상하는 것은 우리의 윤리 강령을 위반한다.","中傷、非難","競合を中傷することは我々の倫理規定に違反する。","诽谤，中伤","诽谤竞争对手违反了我们的道德准则。"
"assay","Chemists assay the purity of raw materials before production.","분석하다, 시험하다","화학자들은 생산 전에 원자재의 순도를 분석한다.","分析する、試験する","化学者は生産前に原材料の純度を分析する。","化验，分析","化学家在生产前化验原材料的纯度。"
"attestation","The auditor's attestation confirmed the accuracy of the report.","증명, 입증","감사인의 증명이 보고서의 정확성을 확인했다.","証明、立証","監査人の証明が報告書の正確性を確認した。","证明，证实","审计师的证明确认了报告的准确性。"
"avaunt","The board told the hostile bidder to avaunt.","물러가라, 저리 가","이사회는 적대적 인수자에게 물러가라고 했다.","立ち去れ、あちらへ","取締役会は敵対的買収者に立ち去るよう告げた。","走开，退下","董事会告诉恶意竞标者走开。"
"aver","The spokesperson averred that the company was fully compliant.","단언하다, 확언하다","대변인은 회사가 완전히 준수하고 있다고 단언했다.","断言する、確言する","広報担当者は会社が完全に法令を遵守していると断言した。","断言，声明","发言人断言公司完全合规。"
"attenuate","The new policy will attenuate the impact of rising costs.","약화시키다, 감소시키다","새로운 정책은 비용 상승의 영향을 약화시킬 것이다.","弱める、減少させる","新しい政策はコスト上昇の影響を弱めるだろう。","减弱，衰减","新政策将减弱成本上升的影响。"
"attest","Sales figures attest to the effectiveness of the campaign.","증명하다, 입증하다","매출 수치가 캠페인의 효과를 입증한다.","証明する、立証する","売上数字がキャンペーンの効果を証明している。","证明，证实","销售数字证明了该活动的有效性。"
"attribute","She attributed the company's success to strong leadership.","~의 탓으로 돌리다, 속성","그녀는 회사의 성공을 강한 리더십 덕분이라고 했다.","〜のせいにする、属性","彼女は会社の成功を強いリーダーシップのおかげだとした。","归因于，属性","她将公司的成功归因于强有力的领导。"
"audacity","The audacity of the hostile takeover shocked the industry.","대담함, 뻔뻔함","적대적 인수의 대담함이 업계를 충격에 빠뜨렸다.","大胆さ、厚かましさ","敵対的買収の大胆さが業界に衝撃を与えた。","大胆，鲁莽","敌意收购的大胆令业界震惊。"
"augur","Strong pre-orders augur well for the product launch.","전조가 되다, 점치다","강한 사전 주문은 제품 출시에 좋은 전조이다.","前兆となる、占う","好調な予約注文は製品発売の良い前兆だ。","预示，占卜","强劲的预购预示着产品发布将会成功。"
"avid","She is an avid reader of financial journals.","열렬한, 탐욕스러운","그녀는 금융 저널의 열렬한 독자이다.","熱心な、貪欲な","彼女は金融ジャーナルの熱心な読者だ。","热衷的，贪婪的","她是金融期刊的热心读者。"
"avow","The company avowed its commitment to sustainability.","공언하다, 솔직히 말하다","회사는 지속 가능성에 대한 약속을 공언했다.","公言する、率直に言う","会社はサステナビリティへのコミットメントを公言した。","公开声明，承认","公司公开声明了其对可持续发展的承诺。"
"backlash","The policy change triggered a public backlash.","반발, 역풍","정책 변경이 대중의 반발을 촉발했다.","反発、バックラッシュ","政策変更が世間の反発を引き起こした。","强烈反对，反弹","政策变更引发了公众的强烈反对。"
"ballast","Stable revenue streams provide ballast during economic turbulence.","밸러스트, 안정 장치","안정적인 수익원이 경제 혼란 중에 안정 장치 역할을 한다.","バラスト、安定装置","安定した収益源が経済的混乱時の安定装置となる。","压舱物，稳定器","稳定的收入来源在经济动荡中起到稳定作用。"
"banality","The banality of the presentation failed to engage the audience.","진부함, 평범함","프레젠테이션의 진부함이 청중을 끌어들이지 못했다.","陳腐さ、平凡さ","プレゼンテーションの陳腐さが聴衆を引きつけられなかった。","平庸，陈腐","演示的平庸未能吸引观众。"
"baroque","The baroque complexity of the tax code frustrates accountants.","바로크식의, 지나치게 장식적인","세법의 지나치게 복잡한 구조가 회계사들을 좌절시킨다.","バロック式の、過度に装飾的な","税法のバロック的な複雑さが会計士を悩ませている。","巴洛克式的，过于复杂的","税法的过度复杂让会计师们感到沮丧。"
"behest","The restructuring was done at the behest of the board.","명령, 요청","구조 조정은 이사회의 요청에 따라 이루어졌다.","命令、要請","リストラは取締役会の要請に応じて行われた。","命令，要求","重组是应董事会的要求进行的。"
"belie","The company's calm exterior belied the internal turmoil.","~와 모순되다, 거짓임을 보여주다","회사의 차분한 외관은 내부의 혼란과 모순되었다.","〜と矛盾する、偽りを示す","会社の穏やかな外観は内部の混乱と矛盾していた。","掩饰，与...矛盾","公司平静的外表掩饰了内部的混乱。"
"belligerent","The belligerent tone of the negotiations alarmed both parties.","호전적인, 교전국의","협상의 호전적인 어조가 양측을 놀라게 했다.","好戦的な、交戦国の","交渉の好戦的なトーンが双方を警戒させた。","好战的，交战的","谈判的好战基调让双方都感到不安。"
"bemoan","Analysts bemoaned the lack of transparency in the report.","한탄하다, 슬퍼하다","분석가들은 보고서의 투명성 부족을 한탄했다.","嘆く、悲しむ","アナリストは報告書の透明性の欠如を嘆いた。","哀叹，悲叹","分析师们哀叹报告缺乏透明度。"
"bereavement","The company offers bereavement leave for employees.","사별, 유족","회사는 직원들에게 사별 휴가를 제공한다.","死別、喪失","会社は従業員に忌引き休暇を提供している。","丧亲，丧失","公司为员工提供丧假。"
"beset","The project was beset by delays and cost overruns.","에워싸다, 괴롭히다","프로젝트는 지연과 비용 초과로 시달렸다.","取り囲む、悩ませる","プロジェクトは遅延とコスト超過に悩まされた。","困扰，包围","该项目受到延误和成本超支的困扰。"
"bespoke","The firm offers bespoke consulting services for each client.","맞춤형의, 주문 제작의","회사는 각 고객에게 맞춤형 컨설팅 서비스를 제공한다.","オーダーメイドの、特注の","同社は各クライアントにオーダーメイドのコンサルティングサービスを提供している。","定制的，定做的","该公司为每位客户提供定制咨询服务。"
"betoken","The rising indicators betoken an economic recovery.","나타내다, 예고하다","상승하는 지표는 경제 회복을 나타낸다.","示す、前兆となる","上昇する指標は景気回復を示している。","预示，表示","上升的指标预示着经济复苏。"
"bibliophile","As a bibliophile, she built the company's research library.","애서가, 서적 수집가","애서가인 그녀는 회사의 연구 도서관을 만들었다.","愛書家、書籍収集家","愛書家として、彼女は会社の研究図書館を築いた。","爱书人，藏书家","作为一个爱书人，她建立了公司的研究图书馆。"
"bifurcation","The bifurcation of the company into two divisions improved focus.","분기, 이분화","회사의 두 부서로의 분기가 집중력을 향상시켰다.","分岐、二分化","会社の2部門への分岐が集中力を向上させた。","分叉，分裂","公司分成两个部门提高了专注度。"
"bilk","The fraudster bilked investors out of millions.","사취하다, 속이다","사기꾼이 투자자들로부터 수백만 달러를 사취했다.","詐取する、だます","詐欺師は投資家から数百万ドルをだまし取った。","诈骗，欺骗","骗子从投资者那里骗取了数百万美元。"
"bivouac","The team held a bivouac-style brainstorming retreat.","야영, 임시 숙영","팀은 야영 스타일의 브레인스토밍 워크숍을 했다.","野営、仮キャンプ","チームは野営スタイルのブレインストーミング合宿を行った。","露营，临时营地","团队举行了露营式的头脑风暴活动。"
"blanch","Executives blanched at the projected cost of compliance.","창백해지다, 데치다","임원들은 예상 규정 준수 비용에 창백해졌다.","青ざめる、湯通しする","幹部は予想されるコンプライアンスコストに青ざめた。","变白，吃惊","高管们对预计的合规成本感到震惊。"
"blandishment","No amount of blandishment could sway the regulator's decision.","아첨, 감언이설","어떤 아첨도 규제 기관의 결정을 바꿀 수 없었다.","おべっか、甘言","いかなるおべっかも規制当局の決定を揺るがすことはできなかった。","奉承，花言巧语","再多的奉承也无法改变监管机构的决定。"
"blasphemy","Suggesting budget cuts was considered blasphemy in that department.","모독, 신성 모독","예산 삭감을 제안하는 것은 그 부서에서 모독으로 여겨졌다.","冒涜、神聖冒涜","予算削減の提案はその部門では冒涜と見なされた。","亵渎，渎神","在那个部门，提出预算削减被视为亵渎。"
"bluster","His bluster in negotiations masked his lack of preparation.","호통, 허세 부리다","협상에서의 그의 허세는 준비 부족을 감추었다.","虚勢、威張る","交渉での彼の虚勢は準備不足を隠していた。","咆哮，虚张声势","他在谈判中的虚张声势掩盖了准备不足。"
"boisterous","The boisterous celebration followed the record-breaking quarter.","떠들썩한, 거친","기록적인 분기 실적 후 떠들썩한 축하가 이어졌다.","騒がしい、荒々しい","記録的な四半期の後、にぎやかな祝賀会が続いた。","喧闹的，粗暴的","创纪录的季度业绩后举行了热闹的庆祝活动。"
"bonhomie","The CEO's bonhomie put everyone at ease during the meeting.","상냥함, 붙임성","CEO의 상냥함이 회의 중 모든 사람을 편안하게 했다.","愛想の良さ、人当たりの良さ","CEOの人当たりの良さが会議中のみんなを安心させた。","和蔼，亲切","首席执行官的和蔼可亲让会议中的每个人都感到轻松。"
"bootleg","Bootleg copies of the software were seized by authorities.","밀수품, 불법 복제의","소프트웨어의 불법 복제본이 당국에 의해 압수되었다.","密造品、海賊版の","ソフトウェアの海賊版が当局に押収された。","盗版的，走私的","盗版软件被当局查获。"
"bowdlerize","The report was bowdlerized to remove sensitive financial data.","삭제하다, 검열하다","보고서는 민감한 재무 데이터를 제거하기 위해 검열되었다.","削除する、検閲する","報告書は機密性の高い財務データを削除するために検閲された。","删改，审查","报告被删改以去除敏感的财务数据。"
"bravado","His bravado during the pitch masked genuine uncertainty.","허세, 용감한 체하기","발표 중의 그의 허세는 진정한 불확실성을 감추었다.","虚勢、強がり","プレゼン中の彼の虚勢は本当の不確実性を隠していた。","虚张声势","他在推介中的虚张声势掩盖了真正的不确定性。"
"brigand","Corporate brigands exploited loopholes in the tax code.","산적, 도적","기업 도적들이 세법의 허점을 이용했다.","山賊、盗賊","企業の盗賊たちが税法の抜け穴を悪用した。","强盗，土匪","企业盗匪利用了税法中的漏洞。"
"brinkmanship","The CEO's brinkmanship in negotiations secured better terms.","벼랑 끝 전술","CEO의 협상에서의 벼랑 끝 전술이 더 나은 조건을 확보했다.","瀬戸際政策","CEOの交渉における瀬戸際戦術がより良い条件を確保した。","边缘政策","首席执行官在谈判中的边缘政策争取到了更好的条件。"
"bucolic","The company retreat was held in a bucolic countryside setting.","전원의, 목가적인","회사 워크숍은 목가적인 시골 환경에서 열렸다.","田園の、牧歌的な","会社のリトリートは牧歌的な田園地帯で開催された。","田园的，牧歌式的","公司度假活动在田园般的乡村环境中举行。"
"burnish","The PR team worked to burnish the company's public image.","닦다, 빛나게 하다","PR팀은 회사의 공적 이미지를 빛나게 하기 위해 노력했다.","磨く、輝かせる","PRチームは会社のパブリックイメージを磨くために取り組んだ。","擦亮，磨光","公关团队努力提升公司的公众形象。"
"buttress","Strong data buttressed the argument for expansion.","버팀목, 지지하다","강력한 데이터가 확장 논거를 지지했다.","支え、支持する","強力なデータが拡大の議論を裏付けた。","支撑，加强","强有力的数据支撑了扩张的论点。"
"byzantine","The byzantine approval process frustrated many applicants.","복잡한, 비잔틴의","복잡한 승인 절차가 많은 지원자를 좌절시켰다.","複雑な、ビザンチンの","複雑な承認プロセスが多くの申請者を苛立たせた。","错综复杂的","错综复杂的审批流程让许多申请者感到沮丧。"
"cabal","A cabal of executives secretly planned the hostile takeover.","비밀 결사, 음모단","임원들의 비밀 결사가 적대적 인수를 비밀리에 계획했다.","秘密結社、陰謀団","幹部の秘密結社が敵対的買収を密かに計画した。","阴谋集团，密谋","一个高管密谋集团秘密策划了敌意收购。"
"cache","The company maintained a cache of emergency supplies.","은닉처, 저장소","회사는 비상 물품 저장소를 유지했다.","隠し場所、貯蔵所","会社は緊急物資の保管場所を維持していた。","隐藏处，储存","公司维护了一个应急物资储存处。"
"cachet","The brand carries significant cachet among luxury consumers.","위신, 특징","그 브랜드는 럭셔리 소비자들 사이에서 상당한 위신을 지닌다.","威信、特徴","そのブランドは高級消費者の間で大きな威信を持っている。","声望，威望","该品牌在奢侈品消费者中享有很高的声望。"
"cadre","A cadre of talented engineers drove the product development.","핵심 그룹, 간부","재능 있는 엔지니어 핵심 그룹이 제품 개발을 주도했다.","幹部、中核グループ","才能あるエンジニアの中核グループが製品開発を推進した。","骨干，干部","一批才华横溢的工程师推动了产品开发。"
"calumniate","The rival company calumniated our CEO in the press.","중상하다, 비방하다","경쟁 회사가 언론에서 우리 CEO를 중상했다.","中傷する、誹謗する","ライバル会社が報道で我々のCEOを中傷した。","诽谤，中伤","竞争对手在媒体上诽谤了我们的首席执行官。"
"canard","The rumor about the merger turned out to be a canard.","거짓 소문, 헛소문","합병에 대한 소문은 거짓 소문으로 판명되었다.","デマ、虚偽の噂","合併の噂はデマであることが判明した。","谣言，虚假消息","关于合并的传闻原来是谣言。"
"canon","Customer-centricity is a canon of our business philosophy.","규범, 기준","고객 중심성은 우리 비즈니스 철학의 규범이다.","規範、基準","顧客中心主義は我々のビジネス哲学の規範だ。","准则，规范","以客户为中心是我们商业哲学的准则。"
"capitulate","The company finally capitulated to shareholder demands.","항복하다, 굴복하다","회사는 마침내 주주 요구에 굴복했다.","降伏する、屈服する","会社はついに株主の要求に屈した。","投降，屈服","公司最终屈服于股东的要求。"
"captious","The captious reviewer found fault with every detail of the plan.","트집 잡는, 흠잡기 좋아하는","트집 잡는 검토자가 계획의 모든 세부 사항에서 결함을 찾았다.","あら探しをする、難癖をつける","あら探しをするレビュアーが計画のあらゆる詳細に欠点を見つけた。","吹毛求疵的","吹毛求疵的审查员对计划的每一个细节都挑毛病。"
"carouse","The team caroused after closing the biggest deal of the year.","술잔치하다, 흥청거리다","팀은 올해 최대 거래를 성사시킨 후 술잔치를 했다.","どんちゃん騒ぎをする","チームは年間最大の取引を成立させた後、どんちゃん騒ぎをした。","狂欢，畅饮","团队在完成年度最大交易后狂欢庆祝。"
"cartography","Data cartography helps visualize complex market landscapes.","지도 제작, 지도학","데이터 지도학은 복잡한 시장 환경을 시각화하는 데 도움이 된다.","地図製作、地図学","データ地図学は複雑な市場環境の可視化に役立つ。","制图学","数据制图学有助于可视化复杂的市场格局。"
"cavalcade","A cavalcade of innovations marked the company's anniversary.","행렬, 연속","혁신의 행렬이 회사의 기념일을 장식했다.","行列、連続","イノベーションの行列が会社の記念日を飾った。","队列，连续","一系列创新标志着公司的周年纪念。"
"cavalier","His cavalier attitude toward compliance raised red flags.","무관심한, 거만한","규정 준수에 대한 그의 무관심한 태도가 경고 신호를 발생시켰다.","無関心な、傲慢な","コンプライアンスに対する彼の無関心な態度が警戒を引き起こした。","漫不经心的，傲慢的","他对合规的漫不经心态度引起了警惕。"
"cavil","Stop caviling about minor details and focus on the big picture.","트집 잡다, 시비 걸다","사소한 세부 사항에 트집 잡지 말고 큰 그림에 집중하라.","あら探しする、難癖をつける","些細な点にあら探しをやめて全体像に集中しなさい。","吹毛求疵，挑剔","别再对小细节吹毛求疵了，关注大局。"
"celibacy","The CEO joked about celibacy from social media during the quarter.","독신, 금욕","CEO는 분기 동안 소셜 미디어로부터의 금욕에 대해 농담했다.","独身、禁欲","CEOは四半期中のソーシャルメディアからの禁欲について冗談を言った。","独身，禁欲","首席执行官开玩笑说本季度远离社交媒体。"
"cerebral","The cerebral approach to marketing appealed to educated consumers.","지적인, 대뇌의","마케팅에 대한 지적인 접근이 교육받은 소비자에게 어필했다.","知的な、大脳の","マーケティングへの知的なアプローチが教養ある消費者にアピールした。","理智的，大脑的","理性的营销方式吸引了受过教育的消费者。"
"chaff","Analysts separated the chaff from valuable market data.","겨, 쓸모없는 것","분석가들은 가치 있는 시장 데이터에서 쓸모없는 것을 분리했다.","もみ殻、無価値なもの","アナリストは価値ある市場データからもみ殻を分離した。","糟粕，无用之物","分析师们从有价值的市场数据中剔除了糟粕。"
"chagrin","Much to her chagrin, the project was canceled.","분함, 속상함","그녀의 분함에도 불구하고 프로젝트는 취소되었다.","悔しさ、無念","彼女の悔しさにもかかわらず、プロジェクトは中止された。","懊恼，失望","令她懊恼的是，项目被取消了。"
"charlatan","The self-proclaimed expert was exposed as a charlatan.","사기꾼, 협잡꾼","자칭 전문가가 사기꾼으로 밝혀졌다.","ペテン師、詐欺師","自称専門家がペテン師であることが暴露された。","骗子，江湖郎中","这位自称专家的人被揭露是个骗子。"
"chicanery","Legal chicanery delayed the settlement for months.","속임수, 궤변","법적 속임수가 합의를 수개월 지연시켰다.","ごまかし、詭弁","法的なごまかしが和解を数ヶ月遅らせた。","欺骗，诡辩","法律欺诈使和解拖延了数月。"
"chimerical","The business plan was dismissed as chimerical by investors.","공상적인, 비현실적인","사업 계획은 투자자들에 의해 공상적이라고 일축되었다.","空想的な、非現実的な","事業計画は投資家によって空想的として却下された。","幻想的，不切实际的","商业计划被投资者视为不切实际而否决。"
"churlish","It would be churlish to refuse the generous partnership offer.","무례한, 버릇없는","관대한 파트너십 제안을 거절하는 것은 무례할 것이다.","無礼な、行儀の悪い","寛大なパートナーシップの申し出を断るのは無礼だろう。","粗鲁的，无礼的","拒绝慷慨的合作提议是很无礼的。"
"circuitous","The circuitous supply chain added unnecessary costs.","우회하는, 돌아가는","우회하는 공급망이 불필요한 비용을 추가했다.","回り道の、迂回した","迂回したサプライチェーンが不必要なコストを追加した。","迂回的，绕行的","迂回的供应链增加了不必要的成本。"
"circumscription","The circumscription of executive power was a key governance reform.","제한, 한정","경영진 권한의 제한은 핵심 거버넌스 개혁이었다.","制限、限定","経営権限の制限は重要なガバナンス改革であった。","限制，界定","限制高管权力是一项关键的治理改革。"
"citadel","The company became a citadel of innovation in the tech industry.","요새, 성채","회사는 기술 산업에서 혁신의 요새가 되었다.","要塞、城塞","同社はテック業界におけるイノベーションの要塞となった。","堡垒，要塞","该公司成为科技行业的创新堡垒。"
"clamor","There was a clamor among shareholders for higher dividends.","외침, 소란","주주들 사이에서 더 높은 배당금에 대한 외침이 있었다.","叫び声、騒ぎ","株主の間でより高い配当を求める声が上がった。","喧嚷，强烈要求","股东们强烈要求更高的股息。"
